Discipline,Country,Event,Medal Type,Country-Year
Athletics,United States of America,4x400m relay women,GOLD,sydney-2000
Athletics,Germany,4x400m relay women,BRONZE,atlanta-1996
Athletics,Federal Republic of Germany,4x400m relay women,BRONZE,los-angeles-1984
Athletics,Federal Republic of Germany,4x400m relay women,BRONZE,munich-1972
Athletics,German Democratic Republic (Germany),4x400m relay women,BRONZE,seoul-1988
Athletics,United States of America,4x400m relay women,SILVER,seoul-1988
Athletics,Nigeria,4x400m relay women,SILVER,atlanta-1996
Athletics,Jamaica,4x400m relay women,SILVER,london-2012
Athletics,Soviet Union,4x400m relay women,BRONZE,montreal-1976
Athletics,Russian Federation,4x400m relay women,SILVER,athens-2004
Athletics,Soviet Union,4x400m relay women,GOLD,moscow-1980
Athletics,Soviet Union,4x400m relay women,GOLD,seoul-1988
Athletics,Russian Federation,4x400m relay women,BRONZE,sydney-2000
Athletics,Jamaica,4x400m relay women,SILVER,sydney-2000
Athletics,Jamaica,4x400m relay women,SILVER,rio-2016
Athletics,Jamaica,4x400m relay women,SILVER,beijing-2008
Athletics,Jamaica,4x400m relay women,BRONZE,athens-2004
Swimming,Germany,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,United States,Men's 4 x 100m Freestyle Relay,GOLD,paris-2024
Swimming,Japan,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,France,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Italy,Men's 4 x 100m Freestyle Relay,SILVER,tokyo-2020
Swimming,Serbia,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Great Britain,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Greece,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Hungary,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Italy,Men's 4 x 100m Freestyle Relay,BRONZE,paris-2024
Swimming,Netherlands,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,United States of America,Men's 4 x 100m Freestyle Relay,GOLD,tokyo-2020
Swimming,Australia,Men's 4 x 100m Freestyle Relay,SILVER,paris-2024
Swimming,ROC,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Australia,Men's 4 x 100m Freestyle Relay,BRONZE,tokyo-2020
Swimming,Switzerland,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Canada,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Brazil,Men's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Poland,Men's 4 x 100m Freestyle Relay,,paris-2024
Athletics,Brazil,Men's 4 x 100m Relay,,paris-2024
Athletics,Jamaica,Men's 4 x 100m Relay,,paris-2024
Athletics,South Africa,Men's 4 x 100m Relay,SILVER,paris-2024
Athletics,France,Men's 4 x 100m Relay,,paris-2024
Athletics,Ghana,Men's 4 x 100m Relay,,paris-2024
Athletics,Germany,Men's 4 x 100m Relay,,paris-2024
Athletics,China,Men's 4 x 100m Relay,,paris-2024
Athletics,Japan,Men's 4 x 100m Relay,,paris-2024
Athletics,Denmark,Men's 4 x 100m Relay,,paris-2024
Athletics,Italy,Men's 4 x 100m Relay,GOLD,tokyo-2020
Athletics,Netherlands,Men's 4 x 100m Relay,,paris-2024
Athletics,Canada,Men's 4 x 100m Relay,GOLD,paris-2024
Athletics,Canada,Men's 4 x 100m Relay,BRONZE,tokyo-2020
Athletics,Italy,Men's 4 x 100m Relay,,paris-2024
Athletics,Great Britain,Men's 4 x 100m Relay,SILVER,tokyo-2020
Athletics,Turkey,Men's 4 x 100m Relay,,paris-2024
Athletics,Trinidad & Tobago,Men's 4 x 100m Relay,,paris-2024
Athletics,United States,Men's 4 x 100m Relay,,paris-2024
Athletics,Great Britain,Men's 4 x 100m Relay,BRONZE,paris-2024
Swimming,Republic of Korea,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,ROC,Men's 4 x 200m Freestyle Relay,SILVER,tokyo-2020
Swimming,Switzerland,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Hungary,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Australia,Men's 4 x 200m Freestyle Relay,BRONZE,paris-2024
Swimming,France,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,ROC,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Japan,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Australia,Men's 4 x 200m Freestyle Relay,BRONZE,tokyo-2020
Swimming,United States,Men's 4 x 200m Freestyle Relay,SILVER,paris-2024
Swimming,China,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Germany,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Brazil,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Great Britain,Men's 4 x 200m Freestyle Relay,GOLD,tokyo-2020
Swimming,Italy,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Ireland,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Poland,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Israel,Men's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Great Britain,Men's 4 x 200m Freestyle Relay,GOLD,paris-2024
Athletics,Botswana,Men's 4 x 400m Relay,SILVER,paris-2024
Athletics,Netherlands,Men's 4 x 400m Relay,,paris-2024
Athletics,Italy,Men's 4 x 400m Relay,,paris-2024
Athletics,India,Men's 4 x 400m Relay,,paris-2024
Athletics,Poland,Men's 4 x 400m Relay,,paris-2024
Athletics,United States of America,Men's 4 x 400m Relay,GOLD,tokyo-2020
Athletics,Botswana,Men's 4 x 400m Relay,BRONZE,tokyo-2020
Athletics,United States,Men's 4 x 400m Relay,GOLD,paris-2024
Athletics,Czech Republic,Men's 4 x 400m Relay,,paris-2024
Athletics,South Africa,Men's 4 x 400m Relay,,paris-2024
Athletics,Netherlands,Men's 4 x 400m Relay,SILVER,tokyo-2020
Athletics,Colombia,Men's 4 x 400m Relay,,paris-2024
Athletics,Japan,Men's 4 x 400m Relay,,paris-2024
Athletics,Great Britain,Men's 4 x 400m Relay,BRONZE,paris-2024
Athletics,Jamaica,Men's 4 x 400m Relay,,paris-2024
Athletics,Germany,Men's 4 x 400m Relay,,paris-2024
Athletics,Trinidad & Tobago,Men's 4 x 400m Relay,,paris-2024
Athletics,France,Men's 4 x 400m Relay,,paris-2024
Athletics,Belgium,Men's 4 x 400m Relay,,paris-2024
Swimming,Denmark,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Sweden,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,ROC,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,United States of America,Women's 4 x 100m Freestyle Relay,BRONZE,tokyo-2020
Swimming,Japan,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Canada,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Germany,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Netherlands,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,United States,Women's 4 x 100m Freestyle Relay,SILVER,paris-2024
Swimming,Canada,Women's 4 x 100m Freestyle Relay,SILVER,tokyo-2020
Swimming,France,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Brazil,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Great Britain,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Czech Republic,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Poland,Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,Australia,Women's 4 x 100m Freestyle Relay,GOLD,tokyo-2020
Swimming,Australia,Women's 4 x 100m Freestyle Relay,GOLD,paris-2024
Swimming,"Hong Kong, China",Women's 4 x 100m Freestyle Relay,,paris-2024
Swimming,China,Women's 4 x 100m Freestyle Relay,BRONZE,paris-2024
Athletics,Ecuador,Women's 4 x 100m Relay,,paris-2024
Athletics,Denmark,Women's 4 x 100m Relay,,paris-2024
Athletics,China,Women's 4 x 100m Relay,,paris-2024
Athletics,Poland,Women's 4 x 100m Relay,,paris-2024
Athletics,France,Women's 4 x 100m Relay,,paris-2024
Athletics,Nigeria,Women's 4 x 100m Relay,,paris-2024
Athletics,Great Britain,Women's 4 x 100m Relay,SILVER,paris-2024
Athletics,Great Britain,Women's 4 x 100m Relay,BRONZE,tokyo-2020
Athletics,Jamaica,Women's 4 x 100m Relay,,paris-2024
Athletics,Switzerland,Women's 4 x 100m Relay,,paris-2024
Athletics,Germany,Women's 4 x 100m Relay,BRONZE,paris-2024
Athletics,Brazil,Women's 4 x 100m Relay,,paris-2024
Athletics,Jamaica,Women's 4 x 100m Relay,GOLD,tokyo-2020
Athletics,Japan,Women's 4 x 100m Relay,,paris-2024
Athletics,United States,Women's 4 x 100m Relay,GOLD,paris-2024
Athletics,Netherlands,Women's 4 x 100m Relay,,paris-2024
Athletics,Italy,Women's 4 x 100m Relay,,paris-2024
Athletics,United States of America,Women's 4 x 100m Relay,SILVER,tokyo-2020
Athletics,Trinidad & Tobago,Women's 4 x 100m Relay,,paris-2024
Swimming,Australia,Women's 4 x 200m Freestyle Relay,GOLD,paris-2024
Swimming,New Zealand,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Australia,Women's 4 x 200m Freestyle Relay,BRONZE,tokyo-2020
Swimming,People's Republic of China,Women's 4 x 200m Freestyle Relay,GOLD,tokyo-2020
Swimming,Brazil,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,ROC,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Canada,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Italy,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,United States of America,Women's 4 x 200m Freestyle Relay,SILVER,tokyo-2020
Swimming,United States,Women's 4 x 200m Freestyle Relay,GOLD,paris-2024
Swimming,Germany,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Japan,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,France,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,South Africa,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,"Hong Kong, China",Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,China,Women's 4 x 200m Freestyle Relay,BRONZE,paris-2024
Swimming,Poland,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Hungary,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Turkey,Women's 4 x 200m Freestyle Relay,,paris-2024
Swimming,Republic of Korea,Women's 4 x 200m Freestyle Relay,,paris-2024
Athletics,Ukraine,Women's 4 x 400m Relay,,paris-2024
Athletics,Poland,Women's 4 x 400m Relay,SILVER,tokyo-2020
Athletics,Great Britain,Women's 4 x 400m Relay,BRONZE,paris-2024
Athletics,Cuba,Women's 4 x 400m Relay,,paris-2024
Athletics,Australia,Women's 4 x 400m Relay,,paris-2024
Athletics,Switzerland,Women's 4 x 400m Relay,,paris-2024
Athletics,Germany,Women's 4 x 400m Relay,,paris-2024
Athletics,Jamaica,Women's 4 x 400m Relay,,paris-2024
Athletics,United States,Women's 4 x 400m Relay,GOLD,paris-2024
Athletics,United States of America,Women's 4 x 400m Relay,GOLD,tokyo-2020
Athletics,Canada,Women's 4 x 400m Relay,,paris-2024
Athletics,Italy,Women's 4 x 400m Relay,,paris-2024
Athletics,Poland,Women's 4 x 400m Relay,,paris-2024
Athletics,Bahamas,Women's 4 x 400m Relay,,paris-2024
Athletics,Belarus,Women's 4 x 400m Relay,,paris-2024
Athletics,Netherlands,Women's 4 x 400m Relay,SILVER,paris-2024
Athletics,Belgium,Women's 4 x 400m Relay,,paris-2024
Athletics,Jamaica,Women's 4 x 400m Relay,BRONZE,tokyo-2020
Athletics,France,Women's 4 x 400m Relay,,paris-2024
